Date,Actual Sales,Predicted Sales,Category
2015-03-01,756.7239999999999,,Technology
2015-03-08,3130.064,,Technology
2015-03-15,490.176,,Technology
2015-03-22,5874.702,,Technology
2015-03-29,476.236,,Technology
2015-04-05,1426.5,,Technology
2015-04-12,1156.538,,Technology
2015-04-19,5047.972000000001,,Technology
2015-04-26,1158.672,,Technology
2015-05-03,3246.83,,Technology
2015-05-10,4170.946,,Technology
2015-05-17,1299.0880000000002,,Technology
2015-05-24,3749.0480000000002,,Technology
2015-05-31,1809.278,,Technology
2015-06-07,1451.83,,Technology
2015-06-14,1542.57,,Technology
2015-06-21,1519.078,,Technology
2015-06-28,1651.908,,Technology
2015-07-05,1478.98,,Technology
2015-07-12,3228.262,,Technology
2015-07-19,1255.85,,Technology
2015-07-26,1888.604,,Technology
2015-08-02,3676.48,,Technology
2015-08-09,2110.69,,Technology
2015-08-16,3147.24,,Technology
2015-08-23,556.518,,Technology
2015-08-30,7990.508,,Technology
2015-09-06,3178.896,,Technology
2015-09-13,2163.808,,Technology
2015-09-20,4788.052,,Technology
2015-09-27,9374.054,,Technology
2015-10-04,2057.296,,Technology
2015-10-11,1654.06,,Technology
2015-10-18,2279.15,,Technology
2015-10-25,1665.358,,Technology
2015-11-01,5380.94,,Technology
2015-11-08,8559.172,,Technology
2015-11-15,5572.876,,Technology
2015-11-22,4501.051,,Technology
2015-11-29,2980.9519999999998,,Technology
2015-12-06,6433.108,,Technology
2015-12-13,5531.76,,Technology
2015-12-20,10637.948,,Technology
2015-12-27,10410.788,,Technology
2016-01-03,3499.444,,Technology
2016-01-10,2117.266,,Technology
2016-01-17,1079.088,,Technology
2016-01-24,265.53200000000004,,Technology
2016-01-31,1549.5600000000002,,Technology
2016-02-07,10314.038,,Technology
2016-02-14,1319.736,,Technology
2016-02-21,142.94,,Technology
2016-02-28,482.2,,Technology
2016-03-06,7096.478,,Technology
2016-03-13,10922.805999999999,,Technology
2016-03-20,395.516,,Technology
2016-03-27,1869.174,,Technology
2016-04-03,1591.9479999999999,,Technology
2016-04-10,3803.276,,Technology
2016-04-17,9872.594,,Technology
2016-04-24,454.18600000000004,,Technology
2016-05-01,452.37600000000003,,Technology
2016-05-08,5497.269,,Technology
2016-05-15,1838.192,,Technology
2016-05-22,4802.26,,Technology
2016-05-29,13153.692000000001,,Technology
2016-06-05,4923.112,,Technology
2016-06-12,6966.011,,Technology
2016-06-19,1114.169,,Technology
2016-06-26,6298.4580000000005,,Technology
2016-07-03,2142.47,,Technology
2016-07-10,5246.985000000001,,Technology
2016-07-17,2796.466,,Technology
2016-07-24,1078.0330000000001,,Technology
2016-07-31,2616.726,,Technology
2016-08-07,2234.106,,Technology
2016-08-14,2409.304,,Technology
2016-08-21,1376.8039999999999,,Technology
2016-08-28,2903.354,,Technology
2016-09-04,9316.752,,Technology
2016-09-11,8201.565999999999,,Technology
2016-09-18,2038.424,,Technology
2016-09-25,1436.528,,Technology
2016-10-02,20288.332000000002,,Technology
2016-10-09,7085.836,,Technology
2016-10-16,3154.852,,Technology
2016-10-23,1207.042,,Technology
2016-10-30,2436.282,,Technology
2016-11-06,1948.891,,Technology
2016-11-13,6274.416,,Technology
2016-11-20,6127.634,,Technology
2016-11-27,12253.627999999999,,Technology
2016-12-04,4241.978,,Technology
2016-12-11,6735.65,,Technology
2016-12-18,2596.064,,Technology
2016-12-25,8550.83,,Technology
2017-01-01,734.73,,Technology
2017-01-08,3772.272,1156.7438950368178,Technology
2017-01-15,639.264,1182.5259787709551,Technology
2017-01-22,5266.1849999999995,188.84095494403854,Technology
2017-01-29,4240.396,2806.7964525544426,Technology
2017-02-05,3486.09,5026.673936470844,Technology
2017-02-12,444.22,2592.9725387414956,Technology
2017-02-19,1742.338,212.28360021539004,Technology
2017-02-26,3169.312,1009.3341802380623,Technology
2017-03-05,2126.1059999999998,6953.681242254833,Technology
2017-03-12,2047.94,5803.648398749744,Technology
2017-03-19,4998.023999999999,2373.5953423131223,Technology
2017-03-26,18878.538,1795.9117781421203,Technology
2017-04-02,10561.974,2306.3811548885246,Technology
2017-04-09,1381.24,3532.026597931535,Technology
2017-04-16,448.776,9882.458441593428,Technology
2017-04-23,3207.521,1160.1376226289585,Technology
2017-04-30,2161.8900000000003,1836.9878209129704,Technology
2017-05-07,2120.234,6609.996321355364,Technology
2017-05-14,6273.164000000001,2411.991622959361,Technology
2017-05-21,3279.504,5903.222584311108,Technology
2017-05-28,1701.534,8795.307650766606,Technology
2017-06-04,2592.604,4413.753772994966,Technology
2017-06-11,1846.0720000000001,5573.280087489894,Technology
2017-06-18,7075.49,1965.9856549982962,Technology
2017-06-25,1267.808,5332.620809248132,Technology
2017-07-02,4471.278,2739.709257935698,Technology
2017-07-09,7497.466,5891.000797685781,Technology
2017-07-16,4074.788,3018.4573097911357,Technology
2017-07-23,4510.218,2104.2666883399756,Technology
2017-07-30,6763.662,4242.272159623015,Technology
2017-08-06,3116.264,3172.4983755410435,Technology
2017-08-13,3514.222,3829.1478631711225,Technology
2017-08-20,2715.126,1570.3733080236552,Technology
2017-08-27,7252.866,6167.797014055341,Technology
2017-09-03,5765.0199999999995,8237.779641684872,Technology
2017-09-10,5486.8,6793.074791491043,Technology
2017-09-17,5822.572999999999,4179.68150168364,Technology
2017-09-24,10341.876,4891.04565045869,Technology
2017-10-01,2720.45,12189.804996026702,Technology
2017-10-08,8658.48,5743.404030157856,Technology
2017-10-15,2566.522,3929.555163773408,Technology
2017-10-22,16497.111,2118.111770024822,Technology
2017-10-29,2224.262,4782.05127260103,Technology
2017-11-05,16628.196,5317.69909794242,Technology
2017-11-12,5774.17,7896.58987693017,Technology
2017-11-19,17120.927,7216.500882782917,Technology
2017-11-26,8049.792,9596.235303971533,Technology
2017-12-03,8984.908,6777.620136710599,Technology
2017-12-10,6873.836,8190.834481994756,Technology
2017-12-17,2736.816,6680.952783066382,Technology
2017-12-24,5860.934,11843.46175335607,Technology
2017-12-31,973.752,2310.0574495374467,Technology
2018-01-07,,,Technology
2018-01-14,,,Technology
2018-01-21,,,Technology
2018-01-28,,,Technology
